web_name,full_name,position,team_short,now_cost_m,age,status,availability,availability_reason,total_points,last_season_points,w_points_per_90,age_factor,team_factor,confidence,projected_minutes,projected_points
Pedro Porro,Pedro Porro Sauceda,DEF,TOT,5.5,26.9,a,1.0,fully available,410.0,117.0,3.758,1.0,0.968,0.959,2596.522,97.473
N.Williams,Neco Williams,DEF,NFO,5.0,25.3,a,1.0,fully available,334.0,128.0,3.387,1.0,1.022,1.0,2645.014,97.033
Strand Larsen,Jørgen Strand Larsen,FWD,CRY,6.0,26.5,a,1.0,fully available,220.0,75.0,3.879,1.0,0.969,0.787,2056.201,96.468
Dalot,Diogo Dalot Teixeira,DEF,MUN,5.0,27.4,a,1.0,fully available,473.0,111.0,3.445,0.996,1.009,1.0,2626.279,96.428
Konsa,Ezri Konsa Ngoyo,DEF,AVL,4.5,28.8,a,1.0,fully available,482.0,100.0,2.953,0.974,1.019,1.0,2976.414,95.96
A.Becker,Alisson Becker,GKP,LIV,5.5,33.9,a,1.0,fully available,648.0,91.0,3.959,0.933,1.026,1.0,2429.271,95.848
Zubimendi,Martín Zubimendi Ibáñez,MID,ARS,5.5,27.5,a,1.0,fully available,133.0,133.0,4.002,0.995,1.043,0.6,2124.331,95.28
Sarr,Ismaïla Sarr,MID,CRY,6.5,28.5,a,1.0,fully available,347.0,117.0,4.807,0.98,0.976,0.837,2023.183,94.709
Rúben,Rúben dos Santos Gato Alves Dias,DEF,MCI,5.5,29.3,a,1.0,fully available,512.0,113.0,4.028,0.961,1.109,1.0,2169.282,94.699
Van Hecke,Jan Paul van Hecke,DEF,TOT,5.0,26.2,a,1.0,fully available,302.0,148.0,3.304,1.0,0.968,0.959,2744.157,93.5
O'Reilly,Nico O'Reilly,DEF,MCI,6.5,21.4,a,1.0,fully available,191.0,160.0,5.432,1.041,1.109,0.787,1773.464,93.279
E.Le Fée,Enzo Le Fée,MID,SUN,6.0,26.5,a,1.0,fully available,147.0,147.0,4.515,1.0,0.969,0.6,2093.055,92.992
Isak,Alexander Isak,FWD,LIV,9.0,26.9,a,1.0,fully available,524.0,41.0,6.516,1.0,1.058,0.959,1321.816,92.425
Cash,Matty Cash,DEF,AVL,4.5,29.0,a,1.0,fully available,461.0,117.0,3.316,0.97,1.019,1.0,2638.304,92.324
Richarlison,Richarlison de Andrade,FWD,TOT,6.0,29.3,a,1.0,fully available,455.0,119.0,5.727,0.961,0.999,1.0,1575.82,91.569
Scott,Alex Scott,MID,BOU,6.0,23.0,a,1.0,fully available,203.0,136.0,4.058,1.018,1.011,0.894,2014.921,90.993
Damsgaard,Mikkel Damsgaard,MID,BRE,5.5,26.1,a,1.0,fully available,322.0,113.0,4.441,1.0,1.013,0.959,1913.115,90.793
