team,goals_for_pg,goals_against_pg,clean_sheet_rate,seasons_of_data,promoted,attack_index,defence_index
Arsenal,1.8499999999999999,0.775,0.4447368421052631,2.0,False,1.3057812862781517,1.8007640067911717
Aston Villa,1.4921052631578946,1.3078947368421054,0.23684210526315788,2.0,False,1.0531692593452517,1.0670523138833
Bournemouth,1.5263157894736843,1.3473684210526315,0.2710526315789474,2.0,False,1.077315997213838,1.0357910156250003
Brentford,1.5486842105263157,1.4144736842105263,0.24473684210526317,2.0,False,1.093104248897144,0.9866511627906979
Brighton,1.4973684210526317,1.3302631578947368,0.24473684210526317,2.0,False,1.0568841420942652,1.0491097922848667
Chelsea,1.5815789473684212,1.2855263157894736,0.2552631578947368,2.0,False,1.116322266078477,1.0856192425793247
Coventry City,1.05,1.85,0.15,0.0,True,0.7411191084281402,0.7543741109530584
Crystal Palace,1.1710526315789473,1.3421052631578947,0.30657894736842106,2.0,False,0.8265614116554446,1.0398529411764708
Everton,1.1907894736842106,1.2605263157894737,0.2986842105263158,2.0,False,0.8404922219642443,1.107150313152401
Fulham,1.3013157894736842,1.3697368421052631,0.2,2.0,False,0.9185047596935222,1.0188760806916428
Hull City,1.05,1.85,0.15,0.0,True,0.7411191084281402,0.7543741109530584
Ipswich,0.9473684210526316,2.1578947368421053,0.052631578947368425,1.0,False,0.6686788948223822,0.6467378048780489
Leeds,1.2894736842105263,1.4736842105263157,0.2105263157894737,1.0,False,0.9101462735082424,0.9470089285714288
Liverpool,1.8697368421052631,1.2842105263157897,0.3,2.0,False,1.3197120965869513,1.086731557377049
Man City,1.980263157894737,1.0039473684210527,0.39342105263157895,2.0,False,1.3977246343162295,1.3901048492791614
Man Utd,1.5855263157894737,1.3526315789473684,0.22894736842105262,2.0,False,1.1191084281402368,1.0317607003891052
Newcastle,1.5328947368421053,1.3736842105263158,0.2565789473684211,2.0,False,1.0819596006501044,1.015948275862069
Nott'm Forest,1.355263157894737,1.2960526315789473,0.2736842105263158,2.0,False,0.9565823078709079,1.076802030456853
Spurs,1.4105263157894736,1.5736842105263158,0.20921052631578949,2.0,False,0.9955885767355467,0.8868311036789299
Sunderland,1.105263157894737,1.2631578947368423,0.2894736842105263,1.0,False,0.7801253772927792,1.1048437500000001
